ID,Dialogue,Reference Summary,Generated Summary,Missing Information,Redundant Information,Circumstance,Wrong Reference,Negation,Object,Tense,Modality,Score,Model Name
0,"Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye","Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.
",doesn't have Betty's number. Amanda suggests Hannah to ask Larry.,X,,,X,,,,,7.0,T5-Baseline
1,"Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye","Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.
",Amanda can't find Betty's number. Larry called her last time they were at the park together. Amanda will text Larry.,,,,X,,,,,8.0,Pegasus-Cons
2,"Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye","Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.
",Betty called Larry last time they were at the park together. Amanda can't find Betty's number.,X,,,,,,,,8.0,BART-Baseline
3,"Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye","Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.
",Amanda can't find Betty's number. Amanda suggests Hannah to ask Larry. Amanda will text Larry.,,,,,,,,,10.0,T5-Cons
4,"Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye","Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.
",Amanda can't find Betty's phone number. Larry called her last time they were at the park together. Larry called her last time they were at the park together. Amanda should text Betty.,X,X,,,,,,,6.0,Pegasus-Baseline
5,"Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye","Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.
",Amanda can't find Betty's number. Larry called her last time Amanda and Hannah were at the park. Amanda will ask Larry about it.,X,,,,,,,,9.0,BART-Cons
6,"Eric: MACHINE!
Rob: That's so gr8!
Eric: I know! And shows how Americans see Russian ;)
Rob: And it's really funny!
Eric: I know! I especially like the train part!
Rob: Hahaha! No one talks to the machine like that!
Eric: Is this his only stand-up?
Rob: Idk. I'll check.
Eric: Sure.
Rob: Turns out no! There are some of his stand-ups on youtube.
Eric: Gr8! I'll watch them now!
Rob: Me too!
Eric: MACHINE!
Rob: MACHINE!
Eric: TTYL?
Rob: Sure :)","Eric and Rob are going to watch a stand-up on youtube.
",Rob and Eric are going to watch MACHINE. Rob likes the train part. Eric will watch it now.,,,,,,,,,10.0,BART-Baseline
7,"Eric: MACHINE!
Rob: That's so gr8!
Eric: I know! And shows how Americans see Russian ;)
Rob: And it's really funny!
Eric: I know! I especially like the train part!
Rob: Hahaha! No one talks to the machine like that!
Eric: Is this his only stand-up?
Rob: Idk. I'll check.
Eric: Sure.
Rob: Turns out no! There are some of his stand-ups on youtube.
Eric: Gr8! I'll watch them now!
Rob: Me too!
Eric: MACHINE!
Rob: MACHINE!
Eric: TTYL?
Rob: Sure :)","Eric and Rob are going to watch a stand-up on youtube.
",Eric and Rob are going to watch some of Vladimir Putin's stand-up videos.,,,X,X,,,,,1.0,Pegasus-Baseline
8,"Eric: MACHINE!
Rob: That's so gr8!
Eric: I know! And shows how Americans see Russian ;)
Rob: And it's really funny!
Eric: I know! I especially like the train part!
Rob: Hahaha! No one talks to the machine like that!
Eric: Is this his only stand-up?
Rob: Idk. I'll check.
Eric: Sure.
Rob: Turns out no! There are some of his stand-ups on youtube.
Eric: Gr8! I'll watch them now!
Rob: Me too!
Eric: MACHINE!
Rob: MACHINE!
Eric: TTYL?
Rob: Sure :)","Eric and Rob are going to watch a stand-up on youtube.
",Adam is a stand-up comedian. He has some stand-ups on YouTube.,,,X,X,,,,,1.0,T5-Baseline
9,"Eric: MACHINE!
Rob: That's so gr8!
Eric: I know! And shows how Americans see Russian ;)
Rob: And it's really funny!
Eric: I know! I especially like the train part!
Rob: Hahaha! No one talks to the machine like that!
Eric: Is this his only stand-up?
Rob: Idk. I'll check.
Eric: Sure.
Rob: Turns out no! There are some of his stand-ups on youtube.
Eric: Gr8! I'll watch them now!
Rob: Me too!
Eric: MACHINE!
Rob: MACHINE!
Eric: TTYL?
Rob: Sure :)","Eric and Rob are going to watch a stand-up on youtube.
",Eric and Rob are laughing at the stand-up of a Russian.,,,X,,,,,,3.0,T5-Cons
